,City,Country,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
0,kyra,ru,49.58,111.98,-14.68,4.21,44.0,20.0
2,inverell,au,-29.78,151.12,18.48,1.86,83.0,56.0
3,glens falls,us,43.31,-73.64,-3.0,3.1,85.0,1.0
4,elko,us,40.83,-115.76,-3.0,1.16,73.0,1.0
6,tarata,pe,-17.47,-70.03,3.25,1.11,79.0,20.0
7,sisimiut,gl,66.94,-53.67,-6.63,0.91,93.0,88.0
8,abu zabad,sd,12.35,29.25,24.03,6.06,54.0,0.0
9,yellowknife,ca,62.46,-114.35,-14.0,4.6,84.0,90.0
10,baton rouge,us,30.45,-91.15,18.0,1.5,100.0,90.0
11,hovd,mn,48.01,91.64,-11.45,1.61,66.0,0.0
12,batsfjord,no,70.63,29.72,-3.0,6.2,79.0,0.0
13,mafeteng,ls,-29.82,27.24,26.68,4.11,41.0,0.0
14,atbasar,kz,51.8,68.33,-7.13,3.61,90.0,88.0
15,marystown,ca,47.17,-55.15,4.75,8.41,100.0,92.0
16,salalah,om,17.02,54.09,31.0,9.3,25.0,0.0
17,maryville,us,35.76,-83.97,4.0,1.11,93.0,20.0
19,kermanshah,ir,34.31,47.06,7.0,1.71,52.0,0.0
20,leon,es,42.6,-5.57,-4.0,2.1,92.0,0.0
22,nishihara,jp,26.18,127.76,25.0,5.7,65.0,75.0
24,tuatapere,nz,-46.13,167.68,14.68,1.16,91.0,0.0
25,nkpor,ng,6.15,6.84,30.75,2.66,63.0,0.0
26,ilyich,kz,40.85,68.51,8.43,2.06,96.0,0.0
28,rongcheng,cn,30.63,117.85,7.93,4.56,100.0,100.0
30,penne,it,42.45,13.93,7.0,0.5,100.0,20.0
31,kumylzhenskaya,ru,49.88,42.59,0.4,5.21,86.0,88.0
32,pangai,to,-19.8,-174.35,26.25,10.21,100.0,68.0
33,tamworth,au,-31.1,150.93,23.0,5.1,60.0,75.0
34,romny,ru,50.73,129.29,-25.53,2.76,63.0,12.0
35,muskegon,us,43.23,-86.25,4.0,2.6,60.0,90.0
36,new iberia,us,30.0,-91.82,20.0,1.5,100.0,90.0
37,shenjiamen,cn,29.96,122.3,14.08,9.71,100.0,88.0
38,zermatt,ch,46.02,7.75,0.0,1.0,81.0,75.0
39,pinega,ru,64.7,43.39,-3.63,3.11,81.0,92.0
40,haileybury,ca,47.45,-79.64,-10.0,3.1,85.0,1.0
41,solnechnyy,ru,50.72,136.63,-24.03,1.16,55.0,24.0
43,mitu,co,1.2,-70.17,24.15,0.81,96.0,68.0
45,falam,mm,22.92,93.68,21.08,0.16,56.0,0.0
46,sao geraldo do araguaia,br,-6.4,-48.55,22.28,2.51,97.0,12.0
48,sur,om,22.57,59.53,25.13,5.46,94.0,0.0
49,taltal,cl,-25.4,-70.48,11.48,0.56,93.0,36.0
50,shahreza,ir,32.03,51.88,12.58,1.86,36.0,36.0
52,mandalgovi,mn,45.76,106.27,-10.93,3.81,74.0,0.0
53,florida,uy,-34.1,-56.21,15.28,5.86,77.0,32.0
54,pokhara,np,28.23,83.98,13.78,1.16,74.0,80.0
55,sumbe,ao,-11.21,13.84,26.23,2.31,90.0,20.0
56,kilindoni,tz,-7.91,39.67,29.18,2.16,96.0,64.0
57,manokwari,id,-0.87,134.08,26.98,0.91,100.0,80.0
58,kramat,id,-8.13,113.45,26.9,1.06,100.0,88.0
60,edd,er,13.93,41.69,32.48,2.51,20.0,0.0
61,masallatah,ly,32.62,14.0,21.63,3.96,30.0,24.0
62,morondava,mg,-20.28,44.28,32.25,2.96,80.0,8.0
63,sao filipe,cv,14.9,-24.5,25.18,4.86,98.0,0.0
64,woodstock,ca,43.13,-80.75,-1.0,2.1,79.0,75.0
65,mantua,cu,22.29,-84.28,22.15,2.66,98.0,12.0
66,ca mau,vn,9.18,105.15,27.98,7.71,87.0,88.0
67,angren,uz,41.02,70.14,1.8,0.96,94.0,20.0
70,albany,au,-35.02,117.89,15.63,4.81,63.0,76.0
71,staryy nadym,ru,65.61,72.68,-14.1,3.61,73.0,68.0
72,ulety,ru,51.36,112.48,-15.58,5.41,48.0,48.0
73,kamina,cd,-8.74,24.99,24.78,1.96,92.0,20.0
74,badarpur,in,24.9,92.6,22.43,0.96,65.0,0.0
75,tabira,br,-7.59,-37.54,20.53,3.61,90.0,64.0
77,riyadh,sa,24.69,46.72,21.0,3.1,46.0,40.0
78,effium,ng,6.63,8.06,31.53,1.96,56.0,0.0
79,baruun-urt,mn,46.68,113.28,-11.85,6.61,65.0,48.0
80,atambua,id,-9.11,124.89,25.08,1.96,100.0,76.0
81,cayenne,gf,4.93,-52.33,24.0,2.51,94.0,40.0
82,orlik,ru,52.52,99.83,-13.28,1.06,77.0,68.0
83,balagansk,ru,54.01,103.05,-12.58,1.26,87.0,80.0
84,alice springs,au,-23.7,133.88,36.0,2.6,26.0,92.0
85,tuburan,ph,6.64,122.27,28.0,1.0,74.0,75.0
86,xunchang,cn,28.45,104.72,9.25,0.96,95.0,88.0
87,cape town,za,-33.93,18.42,24.0,5.1,44.0,0.0
88,mombetsu,jp,44.35,143.35,-7.0,5.7,67.0,20.0
89,caibarien,cu,22.52,-79.47,25.5,8.41,100.0,76.0
90,outlook,ca,51.5,-107.05,-5.78,4.26,82.0,0.0
91,jega,ng,12.22,4.38,29.33,5.66,28.0,0.0
92,cotonou,bj,6.37,2.42,25.0,1.5,94.0,20.0
93,san luis,mx,28.43,-113.75,16.23,2.76,100.0,88.0
94,zhovti vody,ua,48.35,33.5,0.0,2.0,100.0,90.0
95,rockport,us,28.02,-97.05,18.0,1.51,93.0,90.0
97,sabha,ly,27.04,14.43,19.43,5.61,35.0,0.0
98,jiwani,pk,25.05,61.74,29.18,5.26,40.0,0.0
99,valdivia,cl,-39.81,-73.25,5.0,0.5,100.0,90.0
100,okato,nz,-39.2,173.88,17.93,1.96,92.0,0.0
103,palamos,es,41.85,3.13,-1.0,0.5,100.0,20.0
105,novovarshavka,ru,54.17,74.69,-17.53,2.06,86.0,12.0
107,townsville,au,-19.25,146.8,27.0,8.7,78.0,20.0
